Timestamp;Temperature1;Temperature2;Mass
09:37:59.895;26,75;26,5;0,76
09:37:59.960;26,75;26,5;0,76
09:38:00.137;27;26;0,79
09:38:00.225;27;26;0,79
09:38:00.390;26,75;26,75;0,77
09:38:00.467;26,75;26,75;0,77
09:38:00.644;27;26,25;0,81
09:38:00.708;27;26,25;0,81
09:38:00.891;26,5;26,5;0,77
09:38:01.143;26,75;27;0,75
09:38:01.215;26,5;26,5;0,77
09:38:01.215;26,75;27;0,75
09:38:01.394;26,5;26,5;0,78
09:38:01.464;26,5;26,5;0,78
09:38:01.641;26,5;26;0,77
09:38:01.715;26,5;26;0,77
09:38:01.884;26,5;27;0,78
09:38:01.953;26,5;27;0,78
09:38:02.147;27;26,5;0,78
09:38:02.211;27;26,5;0,78
09:38:02.382;26,75;26,25;0,79
09:38:02.465;26,75;26,25;0,79
09:38:02.630;26,75;26,5;0,73
09:38:02.734;26,75;26,5;0,73
09:38:02.893;26,75;26,75;0,78
09:38:02.942;26,75;26,75;0,78
09:38:03.135;27;26,75;0,78
09:38:03.215;27;26,75;0,78
09:38:03.399;26,5;26,75;0,8
09:38:03.469;26,5;26,75;0,8
09:38:03.639;27;26,5;0,76
09:38:03.895;27;26,75;0,79
09:38:03.965;27;26,5;0,76
09:38:03.965;27;26,75;0,79
09:38:04.140;27;26,5;0,79
09:38:04.218;27;26,5;0,79
09:38:04.387;27;26,5;0,79
09:38:04.458;27;26,5;0,79
09:38:04.647;27;26,25;0,77
09:38:04.723;27;26,25;0,77
09:38:04.889;27;26,5;0,8
09:38:05.138;26,5;26,75;0,79
09:38:05.208;27;26,5;0,8
09:38:05.208;26,5;26,75;0,79
09:38:05.387;27;27;0,79
09:38:05.466;27;27;0,79
09:38:05.642;26,5;26,75;0,77
09:38:05.706;26,5;26,75;0,77
09:38:05.897;26,5;26,25;0,78
09:38:05.953;26,5;26,25;0,78
09:38:06.142;26,75;26,75;0,74
09:38:06.208;26,75;26,75;0,74
09:38:06.380;26,5;26,5;0,77
09:38:06.396;26,5;26,5;0,77
09:38:06.645;26,75;26,75;0,79
09:38:06.714;26,75;26,75;0,79
09:38:06.890;27;26,5;0,78
09:38:07.152;26,5;26,25;0,78
09:38:07.224;27;26,5;0,78
09:38:07.282;26,5;26,25;0,78
09:38:07.389;26,5;27;0,78
09:38:07.458;26,5;27;0,78
09:38:07.645;26,75;26,5;0,77
09:38:07.713;26,75;26,5;0,77
09:38:07.894;26,75;26,25;0,77
09:38:07.965;26,75;26,25;0,77
09:38:08.136;26;26;0,8
09:38:08.206;26;26;0,8
09:38:08.396;26,5;26,5;0,79
09:38:08.461;26,5;26,5;0,79
09:38:08.630;26,75;26,5;0,78
09:38:08.646;26,75;26,5;0,78
09:38:08.918;26,5;26,5;0,8
09:38:08.918;26,5;26,5;0,8
09:38:09.144;26,75;26,5;0,76
09:38:09.213;26,75;26,5;0,76
09:38:09.387;26;27;0,8
09:38:09.455;26;27;0,8
09:38:09.640;26,5;26,5;0,78
09:38:09.718;26,5;26,5;0,78
09:38:09.887;27;27;0,76
09:38:09.966;27;27;0,76
09:38:10.130;26,25;26,5;0,79
09:38:10.215;26,25;26,5;0,79
09:38:10.394;26,75;26,5;0,76
09:38:10.488;26,75;26,5;0,76
09:38:10.639;26,75;26;0,76
09:38:10.713;26,75;26;0,76
09:38:10.897;26,5;26,5;0,79
09:38:10.904;26,5;26,5;0,79
09:38:11.133;26,5;26,5;0,76
09:38:11.209;26,5;26,5;0,76
09:38:11.389;26,5;26,25;0,78
09:38:11.456;26,5;26,25;0,78
09:38:11.645;26,75;26,5;0,79
09:38:11.714;26,75;26,5;0,79
09:38:11.882;26,75;26,5;0,75
09:38:11.974;26,75;26,5;0,75
09:38:12.144;27;26,75;0,78
09:38:12.229;27;26,75;0,78
09:38:12.394;26,25;26,25;0,8
09:38:12.454;26,25;26,25;0,8
09:38:12.640;27;26,5;0,78
09:38:12.712;27;26,5;0,78
09:38:12.891;26,25;26,5;0,78
09:38:12.983;26,25;26,5;0,78
09:38:13.144;26,5;27;0,75
09:38:13.205;26,5;27;0,75
09:38:13.394;26;27;0,77
09:38:13.394;26;27;0,77
09:38:13.644;26,75;26,75;0,8
09:38:13.698;26,75;26,75;0,8
09:38:13.884;26,75;26,25;0,77
09:38:13.959;26,75;26,25;0,77
09:38:14.144;26;26,5;0,77
09:38:14.218;26;26,5;0,77
09:38:14.388;26,5;26,75;0,78
09:38:14.463;26,5;26,75;0,78
09:38:14.629;26,75;26,5;0,79
09:38:14.726;26,75;26,5;0,79
09:38:14.893;26,25;26,5;0,78
09:38:14.956;26,25;26,5;0,78
09:38:15.141;26,75;26,5;0,76
09:38:15.223;26,75;26,5;0,76
09:38:15.383;26,5;26,5;0,76
09:38:15.483;26,5;26,5;0,76
09:38:15.644;26,25;26,5;0,78
09:38:15.729;26,25;26,5;0,78
09:38:15.894;26,25;26,75;0,74
09:38:15.964;26,25;26,75;0,74
09:38:16.148;26,5;26,25;0,78
09:38:16.150;26,5;26,25;0,78
09:38:16.380;26,75;26,5;0,76
09:38:16.479;26,75;26,5;0,76
09:38:16.640;26,5;26,5;0,77
09:38:16.707;26,5;26,5;0,77
09:38:16.896;26,5;26,5;0,79
09:38:16.970;26,5;26,5;0,79
09:38:17.144;26,5;26,25;0,79
09:38:17.217;26,5;26,25;0,79
09:38:17.395;26,5;26,5;0,77
09:38:17.480;26,5;26,5;0,77
09:38:17.641;26,75;26,75;0,8
09:38:17.706;26,75;26,75;0,8
09:38:17.894;27;26,25;0,75
09:38:17.951;27;26,25;0,75
09:38:18.143;26,75;27;0,8
09:38:18.192;26,75;27;0,8
09:38:18.385;26,25;26,5;0,82
09:38:18.451;26,25;26,5;0,82
09:38:18.643;26,75;26,75;0,77
09:38:18.728;26,75;26,75;0,77
09:38:18.880;26,75;26;0,8
09:38:18.976;26,75;26;0,8
09:38:19.143;26,5;26;0,76
09:38:19.213;26,5;26;0,76
09:38:19.395;26,5;26,75;0,79
09:38:19.462;26,5;26,75;0,79
09:38:19.638;26,75;26,25;0,78
09:38:19.713;26,75;26,25;0,78
09:38:19.895;27;26,5;0,78
09:38:19.961;27;26,5;0,78
09:38:20.136;26,75;26,25;0,8
09:38:20.231;26,75;26,25;0,8
09:38:20.391;26,25;27;0,74
09:38:20.460;26,25;27;0,74
09:38:20.645;26,75;27;0,78
09:38:20.895;26,75;26,5;0,78
09:38:20.973;26,75;27;0,78
09:38:20.973;26,75;26,5;0,78
09:38:21.146;26,75;26,25;0,77
09:38:21.221;26,75;26,25;0,77
09:38:21.389;26,5;26,75;0,76
09:38:21.451;26,5;26,75;0,76
09:38:21.631;26,25;26,75;0,79
09:38:21.647;26,25;26,75;0,79
09:38:21.893;26,5;26,25;0,76
09:38:21.962;26,5;26,25;0,76
09:38:22.138;26,75;26,5;0,8
09:38:22.210;26,75;26,5;0,8
09:38:22.393;26,75;26,25;0,78
09:38:22.475;26,75;26,25;0,78
09:38:22.641;27;27;0,72
09:38:22.726;27;27;0,72
09:38:22.881;26,5;26,25;0,79
09:38:22.963;26,5;26,25;0,79
09:38:23.146;26,75;26,5;0,8
09:38:23.220;26,75;26,5;0,8
09:38:23.396;26,5;26,75;0,77
09:38:23.466;26,5;26,75;0,77
09:38:23.647;26,5;26,5;0,78
09:38:23.718;26,5;26,5;0,78
09:38:23.879;26,75;26,25;0,8
09:38:23.957;26,75;26,25;0,8
09:38:24.129;26,25;26,5;0,8
09:38:24.389;26,75;26,75;0,8
09:38:24.457;26,25;26,5;0,8
09:38:24.457;26,75;26,75;0,8
09:38:24.644;26,5;26,25;0,81
09:38:24.647;26,5;26,25;0,81
09:38:24.881;26,75;26;0,78
09:38:24.973;26,75;26;0,78
09:38:25.144;27;26,5;0,77
09:38:25.209;27;26,5;0,77
09:38:25.392;26,75;26,25;0,8
09:38:25.474;26,75;26,25;0,8
09:38:25.644;26,75;26,75;0,79
09:38:25.723;26,75;26,75;0,79
09:38:25.894;27;27;0,79
09:38:26.142;26,5;26,25;0,82
09:38:26.223;27;27;0,79
09:38:26.223;26,5;26,25;0,82
09:38:26.410;26,75;26,25;0,76
09:38:26.410;26,75;26,25;0,76
09:38:26.640;28,25;26,75;0,8
09:38:26.706;28,25;26,75;0,8
09:38:26.888;30,75;26,75;0,78
09:38:26.949;30,75;26,75;0,78
09:38:27.130;30,75;26,5;0,78
09:38:27.150;30,75;26,5;0,78
09:38:27.394;31,5;26,25;0,8
09:38:27.465;31,5;26,25;0,8
09:38:27.648;31,75;26,5;0,79
09:38:27.712;31,75;26,5;0,79
09:38:27.887;31,75;26,75;0,77
09:38:27.950;31,75;26,75;0,77
09:38:28.144;32;26,5;0,8
09:38:28.221;32;26,5;0,8
09:38:28.394;32,25;26,5;0,77
09:38:28.471;32,25;26,5;0,77
09:38:28.632;32,5;26,25;0,78
09:38:28.720;32,5;26,25;0,78
09:38:28.884;32,75;26,25;0,77
09:38:28.959;32,75;26,25;0,77
09:38:29.143;32,5;26;0,79
09:38:29.394;32,25;26,25;0,79
09:38:29.479;32,5;26;0,79
09:38:29.481;32,25;26,25;0,79
09:38:29.641;32,75;26,25;0,79
09:38:29.701;32,75;26,25;0,79
09:38:29.895;33;26,75;0,78
09:38:29.966;33;26,75;0,78
09:38:30.141;32,5;26,5;0,83
09:38:30.215;32,5;26,5;0,83
09:38:30.390;33;26,75;0,78
09:38:30.485;33;26,75;0,78
09:38:30.636;32,5;26,5;0,78
09:38:30.699;32,5;26,5;0,78
09:38:30.891;32,5;26,25;0,78
09:38:30.966;32,5;26,25;0,78
09:38:31.143;32,5;26,5;0,78
09:38:31.225;32,5;26,5;0,78
09:38:31.391;33,25;26,75;0,79
09:38:31.464;33,25;26,75;0,79
09:38:31.639;32,5;26,25;0,8
09:38:31.719;32,5;26,25;0,8
09:38:31.892;33,25;26,5;0,79
09:38:31.960;33,25;26,5;0,79
09:38:32.136;33,25;26,75;0,82
09:38:32.212;33,25;26,75;0,82
09:38:32.394;33,25;26,75;0,8
09:38:32.446;33,25;26,75;0,8
09:38:32.637;32,75;26,25;0,78
09:38:32.724;32,75;26,25;0,78
09:38:32.896;33,5;26,5;0,81
09:38:32.971;33,5;26,5;0,81
09:38:33.139;33,25;26,25;0,83
09:38:33.221;33,25;26,25;0,83
09:38:33.393;32,5;26;0,78
09:38:33.473;32,5;26;0,78
09:38:33.647;32;26,75;0,79
09:38:33.749;32;26,75;0,79
09:38:33.895;31,75;26,75;0,78
09:38:33.958;31,75;26,75;0,78
09:38:34.145;31,25;26,5;0,79
09:38:34.213;31,25;26,5;0,79
09:38:34.382;31;26,75;0,79
09:38:34.462;31;26,75;0,79
09:38:34.633;31;26,5;0,79
09:38:34.645;31;26,5;0,79
09:38:34.896;30;26,5;0,81
09:38:34.983;30;26,5;0,81
09:38:35.138;30,75;27;0,82
09:38:35.213;30,75;27;0,82
09:38:35.395;30,75;26,5;0,77
09:38:35.460;30,75;26,5;0,77
09:38:35.643;29,75;26,25;0,79
09:38:35.707;29,75;26,25;0,79
09:38:35.887;30,25;26,5;0,78
09:38:35.955;30,25;26,5;0,78
09:38:36.133;30,5;26,5;0,8
09:38:36.211;30,5;26,5;0,8
09:38:36.395;29,75;26,75;0,8
09:38:36.400;29,75;26,75;0,8
09:38:36.637;30,25;27,25;0,81
09:38:36.721;30,25;27,25;0,81
09:38:36.896;30;26,25;0,81
09:38:36.961;30;26,25;0,81
09:38:37.132;29,75;26;0,81
09:38:37.219;29,75;26;0,81
09:38:37.379;29,75;26,25;0,81
09:38:37.451;29,75;26,25;0,81
09:38:37.644;30;26,5;0,8
09:38:37.734;30;26,5;0,8
09:38:37.883;29,75;26,5;0,79
09:38:38.142;29,75;26,75;0,79
09:38:38.203;29,75;26,5;0,79
09:38:38.203;29,75;26,75;0,79
09:38:38.383;29,75;26,5;0,79
09:38:38.462;29,75;26,5;0,79
09:38:38.645;29,25;27;0,86
09:38:38.718;29,25;27;0,86
09:38:38.886;29,25;27;0,8
09:38:38.963;29,25;27;0,8
09:38:39.134;29;27;0,82
09:38:39.225;29;27;0,82
09:38:39.393;29,5;26,75;0,82
09:38:39.456;29,5;26,75;0,82
09:38:39.642;29,5;27;0,79
09:38:39.725;29,5;27;0,79
09:38:39.882;29;27,5;0,78
09:38:39.950;29;27,5;0,78
09:38:40.139;28,75;27;0,78
09:38:40.212;28,75;27;0,78
09:38:40.379;28,75;27,5;0,81
09:38:40.483;28,75;27,5;0,81
09:38:40.643;29;27,25;0,78
09:38:40.697;29;27,25;0,78
09:38:40.894;28,5;27,25;0,79
09:38:40.969;28,5;27,25;0,79
09:38:41.144;28,25;28;0,8
09:38:41.208;28,25;28;0,8
09:38:41.394;29;27,75;0,86
09:38:41.396;29;27,75;0,86
09:38:41.630;28,75;27,75;0,77
09:38:41.719;28,75;27,75;0,77
09:38:41.893;28,75;27,5;0,8
09:38:41.957;28,75;27,5;0,8
09:38:42.140;28,75;27,75;0,77
09:38:42.242;28,75;27,75;0,77
09:38:42.381;28,25;28;0,8
09:38:42.465;28,25;28;0,8
09:38:42.643;28,25;28,25;0,79
09:38:42.714;28,25;28,25;0,79
09:38:42.894;28,75;27,75;0,78
09:38:42.957;28,75;27,75;0,78
09:38:43.147;28,25;28;0,78
09:38:43.213;28,25;28;0,78
09:38:43.389;28;28;0,8
09:38:43.454;28;28;0,8
09:38:43.641;28,5;28;0,79
09:38:43.715;28,5;28;0,79
09:38:43.894;28,5;28;0,76
09:38:43.968;28,5;28;0,76
09:38:44.142;28,75;28,25;0,79
09:38:44.217;28,75;28,25;0,79
09:38:44.395;28,5;27,75;0,81
09:38:44.449;28,5;27,75;0,81
09:38:44.629;28,25;28,25;0,78
09:38:44.714;28,25;28,25;0,78
09:38:44.909;28,25;28;0,79
09:38:45.144;28,75;28,25;0,76
09:38:45.213;28,25;28;0,79
09:38:45.217;28,75;28,25;0,76
09:38:45.382;28,25;28;0,81
09:38:45.457;28,25;28;0,81
09:38:45.646;28,25;29;0,8
09:38:45.718;28,25;29;0,8
09:38:45.894;28,25;28,75;0,8
09:38:45.982;28,25;28,75;0,8
09:38:46.140;27,75;28,25;0,79
09:38:46.217;27,75;28,25;0,79
09:38:46.389;28,5;28;0,79
09:38:46.472;28,5;28;0,79
09:38:46.643;28,25;29;0,81
09:38:46.707;28,25;29;0,81
09:38:46.895;27,75;29;0,81
09:38:47.140;29,25;28,25;0,8
09:38:47.205;27,75;29;0,81
09:38:47.212;29,25;28,25;0,8
09:38:47.395;28,75;28,5;0,78
09:38:47.398;28,75;28,5;0,78
09:38:47.654;28,5;28,5;0,79
09:38:47.654;28,5;28,5;0,79
09:38:47.886;28,25;29;0,78
09:38:47.967;28,25;29;0,78
